SR No,LRNo,LRDate,NoOfBox,Weight,InvoiceNumber,InvoiceDate,PartyName,CityName,District,State,Amount,TransportName,Remark
718,158078423,3/13/2025 18:02,3,17.4,DHL/24-25/15858,3/13/2025 14:13,Maa Kali Enterprise,Agartala,West Tripura,Tripura,9062.4,GATI,All others ODA
719,158077822,3/13/2025 17:59,10,17,DHL/24-25/15846,3/13/2025 12:20,ACEE WEIGHING SOLUTION,AHMEDABAD,AHMEDABAD,Gujarat,17110,GATI,All others ODA
720,158077839,3/13/2025 17:58,24,420,DHL/24-25/15862,3/13/2025 14:18,TRANSWORLD SCALES SERVICES,Karicode,KOLLAM,Kerala,106483.2,GATI,Scheduled
721,158077846,3/13/2025 17:56,5,29,DHL/24-25/15860,3/13/2025 14:15,PHOENIX INDUSTRIAL SERVICE,ANGUL,ANGUL,Odisha,14455,GATI,All others ODA
722,274848766,3/13/2025 16:29,23,335.8,DHL/24-25/15881,3/13/2025 15:21,LINKWELL TELESYSTEMS PVT LTD (ARUNACHAL PRADESH),BEGUMPET,HYDERABAD,Telangana,113556.48,DELHIVERY,All others ODA
723,274848454,3/13/2025 16:27,40,584,DHL/24-25/15880,3/13/2025 15:19,LINKWELL TELESYSTEMS PVT LTD (ARUNACHAL PRADESH),BEGUMPET,HYDERABAD,Telangana,197489.52,DELHIVERY,All others ODA
724,274848379,3/13/2025 16:26,32,467.2,DHL/24-25/15879,3/13/2025 15:17,LINKWELL TELESYSTEMS PVT LTD (ARUNACHAL PRADESH),BEGUMPET,HYDERABAD,Telangana,157991.62,DELHIVERY,All others ODA
733,1000 2221 4850,3/12/2025 19:41,2,9.4,DHL/24-25/15677,3/10/2025 10:05,SONI RADIOS,ZIRA,FIROZPUR,PUNJAB,7009.2,SAFEXPRESS,All others ODA
734,1000 2221 4850,3/12/2025 19:41,2,9.4,DHL/24-25/15677,3/10/2025 10:05,SONI RADIOS,ZIRA,FIROZPUR,PUNJAB,6419.2,SAFEXPRESS,All others ODA
735,1000 2221 4850,3/12/2025 19:41,2,11,DHL/24-25/15749,3/11/2025 14:00,SONI RADIOS,ZIRA,FIROZPUR,PUNJAB,7976.8,SAFEXPRESS,All others ODA
736,1000 2221 5961,3/12/2025 19:39,4,22.6,DHL/24-25/15640,3/8/2025 10:11,Bhagya Enterprises,KENDRAPARA,KENDRAPARA,Odisha,9333.8,SAFEXPRESS,Scheduled
737,1000 2221 5961,3/12/2025 19:39,1,8.1,DHL/24-25/15641,3/8/2025 10:13,Bhagya Enterprises,KENDRAPARA,KENDRAPARA,Odisha,3840.9,SAFEXPRESS,Scheduled
738,1000 2221 5961,3/12/2025 19:39,3,45.6,DHL/24-25/15717,3/11/2025 9:30,Bhagya Enterprises,KENDRAPARA,KENDRAPARA,Odisha,16620.3,SAFEXPRESS,Scheduled
739,1000 2221 5961,3/12/2025 19:39,4,33,DHL/24-25/15717,3/11/2025 9:30,Bhagya Enterprises,KENDRAPARA,KENDRAPARA,Odisha,11670.2,SAFEXPRESS,Scheduled
740,1000 2221 5961,3/12/2025 19:39,1,2.2,DHL/24-25/15752,3/11/2025 14:05,Bhagya Enterprises,KENDRAPARA,KENDRAPARA,Odisha,2365.9,SAFEXPRESS,Scheduled
741,1000 2221 5961,3/12/2025 19:39,2,11.6,DHL/24-25/15800,3/12/2025 16:30,Bhagya Enterprises,KENDRAPARA,KENDRAPARA,Odisha,5947.2,SAFEXPRESS,Scheduled
742,1000 2221 6921,3/12/2025 19:37,3,35.1,DHL/24-25/15624,3/8/2025 9:33,Umerkote,UMARKOTE,NAWRANGPUR,Odisha,10974,SAFEXPRESS,Scheduled
